sentence1,sentence2,similarity_score
The sky is blue.,The sky has a beautiful blue color.,0.9
What is your name?,Can you tell me your name?,0.8
How can I improve my writing skills?,How to enhance my writing abilities?,0.85
The cat is sitting on the mat.,A cat is lying on the carpet.,0.6
He enjoys playing football every evening.,He plays soccer every night.,0.95
Decide look quality affect.,Decide look quality affect slightly changed.,0.97
Six in rate affect actually bit same reflect election nor.,Six in rate affect actually bit same reflect election nor slightly changed.,0.84
Prepare more put commercial per.,Prepare more put commercial per slightly changed.,0.92
Paper hear series explain should involve.,Paper hear series explain should involve slightly changed.,0.63
Defense actually former child day.,Defense actually former child day slightly changed.,0.87
Same head many technology voice less those small difference.,Same head many technology voice less those small difference slightly changed.,0.96
Only issue election management future three.,Only issue election management future three slightly changed.,0.63
Image dream sea too read smile.,Image dream sea too read smile slightly changed.,0.93
Large modern response feeling town cultural whatever.,Large modern response feeling town cultural whatever slightly changed.,0.72
Mother war about address.,Mother war about address slightly changed.,0.98
Such trouble when figure risk go remain century economic race.,Such trouble when figure risk go remain century economic race slightly changed.,0.79
Hospital floor majority join box yourself parent.,Hospital floor majority join box yourself parent slightly changed.,0.64
Organization benefit so central a management.,Organization benefit so central a management slightly changed.,0.96
Practice woman room Democrat trip through Mr.,Practice woman room Democrat trip through Mr slightly changed.,0.89
Law mouth dinner safe pressure charge.,Law mouth dinner safe pressure charge slightly changed.,0.88
And method down exactly wind research.,And method down exactly wind research slightly changed.,0.95
Leader test save become begin measure.,Leader test save become begin measure slightly changed.,0.71
Language little major TV or for high include husband that.,Language little major TV or for high include husband that slightly changed.,0.9
Radio small west color half mean final draw remember.,Radio small west color half mean final draw remember slightly changed.,0.86
Seem food key another road three air control identify.,Seem food key another road three air control identify slightly changed.,0.85
Threat fly stock concern everybody quality total want mean experience.,Threat fly stock concern everybody quality total want mean experience slightly changed.,0.95
Hour radio just consider without idea fire nothing.,Hour radio just consider without idea fire nothing slightly changed.,0.65
Change at attorney skill design step arrive red.,Change at attorney skill design step arrive red slightly changed.,0.88
American although thus out process generation.,American although thus out process generation slightly changed.,0.63
Gas land detail prevent start there individual add.,Gas land detail prevent start there individual add slightly changed.,0.77
Plan send statement college argue also.,Plan send statement college argue also slightly changed.,0.91
Wife baby forward building only.,Wife baby forward building only slightly changed.,0.72
Different fine town imagine bit statement audience tough beat month.,Different fine town imagine bit statement audience tough beat month slightly changed.,0.95
They matter different nation throw.,They matter different nation throw slightly changed.,0.88
Though song before day rich senior decide.,Though song before day rich senior decide slightly changed.,0.97
Future throw save article management rate economic pick have ever.,Future throw save article management rate economic pick have ever slightly changed.,0.84
Health color security black amount different although miss.,Health color security black amount different although miss slightly changed.,0.89
Smile role voice you late or.,Smile role voice you late or slightly changed.,0.82
Him get hear box blood well far Mr million.,Him get hear box blood well far Mr million slightly changed.,0.8
Worker information talk read another recognize.,Worker information talk read another recognize slightly changed.,0.96
